Year,Week,Date_Wk,Date,State,Commodity,Commodity_type,Market,price
2019,16,04/21/2019,04/01/2019,Kano,rice,rice_indian,retail,330.71
2019,16,04/21/2019,04/01/2019,Kano,rice,rice_thailand,retail,333.18
2019,16,04/21/2019,04/01/2019,Katsina,maize,maize_white,farm_gate,79
2019,16,04/21/2019,04/01/2019,Katsina,maize,maize_white,retail,98.67
2019,16,04/21/2019,04/01/2019,Katsina,maize,maize_white,wholesale,76.18
2019,16,04/21/2019,04/01/2019,Katsina,maize,maize_yellow,farm_gate,86
2019,16,04/21/2019,04/01/2019,Katsina,maize,maize_yellow,retail,98.88
2019,16,04/21/2019,04/01/2019,Katsina,maize,maize_yellow,wholesale,79.98
2019,16,04/21/2019,04/01/2019,Katsina,rice,rice_indian,farm_gate,240
2019,16,04/21/2019,04/01/2019,Katsina,rice,rice_indian,retail,293.46
2019,16,04/21/2019,04/01/2019,Katsina,rice,rice_thailand,farm_gate,277
2019,16,04/21/2019,04/01/2019,Katsina,rice,rice_thailand,retail,288.07
2019,17,04/28/2019,04/01/2019,Kano,maize,maize_white,farm_gate,80
2019,17,04/28/2019,04/01/2019,Kano,maize,maize_white,retail,94.1
2019,17,04/28/2019,04/01/2019,Kano,maize,maize_yellow,retail,107.91
2019,17,04/28/2019,04/01/2019,Kano,rice,rice_indian,retail,357.49
2019,17,04/28/2019,04/01/2019,Kano,rice,rice_thailand,farm_gate,380
2019,17,04/28/2019,04/01/2019,Kano,rice,rice_thailand,retail,379.43
2019,17,04/28/2019,04/01/2019,Katsina,maize,maize_white,farm_gate,92
2019,17,04/28/2019,04/01/2019,Katsina,maize,maize_white,retail,97.7
2019,17,04/28/2019,04/01/2019,Katsina,maize,maize_white,wholesale,76.31
2019,17,04/28/2019,04/01/2019,Katsina,maize,maize_yellow,farm_gate,76
2019,17,04/28/2019,04/01/2019,Katsina,maize,maize_yellow,retail,95.69
2019,17,04/28/2019,04/01/2019,Katsina,maize,maize_yellow,wholesale,82.38
2019,17,04/28/2019,04/01/2019,Katsina,rice,rice_indian,farm_gate,280
2019,17,04/28/2019,04/01/2019,Katsina,rice,rice_indian,retail,284.6
2019,17,04/28/2019,04/01/2019,Katsina,rice,rice_thailand,farm_gate,352
2019,17,04/28/2019,04/01/2019,Katsina,rice,rice_thailand,retail,284.78
2019,18,05/05/2019,05/01/2019,Kano,maize,maize_white,farm_gate,100
